,,,,,,,intercept,-1.05165E+12
8550808609,1,,,,,,,
848182999.7,x0,,x0,Eads,,,,
-109712094.8,x1,,x1,M,,,,
116699299.5,x2,,x2,ZTM,,,,
-552551857.4,x3,,x3,Eg,,,,
-220218837,x4,,x4,plz,,,,
-11196253.8,x5,,x5,Ra,,,,
-40803545.39,x6,,x6,Rc,,,,
35120372.81,x7,,x7,Uo,,,,
20397428.98,x8,,x8,Ip1,,,,
-32977900.64,x9,,x9,NTM,,,,
14050784.84,x10,,x10,N,,,,
0.008191,x0^2,,,,,,,
60378628.12,x0 x1,,,,,,,
17721054.41,x0 x2,,,,,,,
-18851070.74,x0 x3,,,,,,,
43920105.7,x0 x4,,,,,,,
-181813.3618,x0 x5,,,,,,,
2319302.062,x0 x6,,,,,,,
3354738.373,x0 x7,,,,,,,
-9455602.279,x0 x8,,,,,,,
0.001988,x0 x9,,,,,,,
0.085176,x0 x10,,,,,,,
85748796.15,x1^2,,,,,,,
-29813386.84,x1 x2,,,,,,,
2082659.872,x1 x3,,,,,,,
116056906.5,x1 x4,,,,,,,
669843.8767,x1 x5,,,,,,,
388031.2904,x1 x6,,,,,,,
-13708604.31,x1 x7,,,,,,,
218211346.8,x1 x8,,,,,,,
-19412996.43,x1 x9,,,,,,,
-55149260.23,x1 x10,,,,,,,
-5128363.454,x2^2,,,,,,,
965558.9442,x2 x3,,,,,,,
19478160.47,x2 x4,,,,,,,
352782.9076,x2 x5,,,,,,,
-159185.3527,x2 x6,,,,,,,
3553183.267,x2 x7,,,,,,,
233764535.8,x2 x8,,,,,,,
-11662608.37,x2 x9,,,,,,,
-38630219.95,x2 x10,,,,,,,
30797.0164,x3^2,,,,,,,
559809.5334,x3 x4,,,,,,,
22733.80525,x3 x5,,,,,,,
-17747.99474,x3 x6,,,,,,,
-118888.4519,x3 x7,,,,,,,
11440639.55,x3 x8,,,,,,,
133196.8739,x3 x9,,,,,,,
-2288303.911,x3 x10,,,,,,,
-165235211.8,x4^2,,,,,,,
-476346.896,x4 x5,,,,,,,
1086626.448,x4 x6,,,,,,,
3271358.961,x4 x7,,,,,,,
228281988.9,x4 x8,,,,,,,
-15588275.65,x4 x9,,,,,,,
-42446486.89,x4 x10,,,,,,,
21379.30743,x5^2,,,,,,,
40295.48113,x5 x6,,,,,,,
-42418.15531,x5 x7,,,,,,,
22043599.19,x5 x8,,,,,,,
381934.1005,x5 x9,,,,,,,
-160737.4981,x5 x10,,,,,,,
-41174.1294,x6^2,,,,,,,
313045.6086,x6 x7,,,,,,,
-19290691.32,x6 x8,,,,,,,
474399.893,x6 x9,,,,,,,
-2700789.64,x6 x10,,,,,,,
622111.8062,x7^2,,,,,,,
-15619110.73,x7 x8,,,,,,,
-89355.79229,x7 x9,,,,,,,
-14838689.21,x7 x10,,,,,,,
-39587083.68,x8^2,,,,,,,
3047153.493,x8 x9,,,,,,,
8654885.156,x8 x10,,,,,,,
0.029682,x9^2,,,,,,,
0.035514,x9 x10,,,,,,,
-0.505408,x10^2,,,,,,,
